t_s,qin_m3s,qout_m3s,u,L_m,P_Pa,n_in_mols,n_out_mols,L_true_m,P_true_Pa,L_meas_m,P_meas_Pa,L_missing,P_missing,L_est_m,P_est_Pa,n_est_mol,res_L,res_P
0.0,0.0,0.0,0.0,1.0,118243.55555555556,0.0,0.0,1.0,118243.55555555556,1.000012301533575,118306.38426973608,False,False,1.000012301533575,118306.3842697361,400.2108989271673,0.0,1.4551915228366852e-11
0.5,0.004,0.0021852144210516,0.55,1.0003024642631582,117308.5906864866,4.0,10.405707835392825,1.0003024642631582,117308.5906864866,1.0032899196382428,117149.42298883563,False,False,1.0017749377548184,117262.52531493964,396.4466287227254,0.002975607288430604,-219.1277425588778
1.0,0.004,0.0021444981008655,0.55,1.000611714579681,116416.81054804171,4.0,10.114098100844895,1.000611714579681,116416.81054804171,0.9978703360260583,116306.1738327833,False,False,1.000666759739869,116350.93122847786,393.51006085607946,-0.004214100359136053,-66.2954664331337
1.5,0.004,0.0021049364490621,0.55,1.000927558504837,115567.41515146426,4.0,9.827898427815942,1.000927558504837,115567.41515146426,0.9920216401172642,115044.96081709467,False,False,0.998574930854544,115393.02224117912,390.54250709548745,-0.008961453553611443,-459.74635274501634
2.0,0.004,0.0020665591123005,0.55,1.0012497986527868,114759.57247424083,4.0,9.54732721599984,1.0012497986527868,114759.57247424083,0.9967030908010696,114492.40918249988,False,False,0.9984005465517343,114573.99008608884,387.79305917179374,-0.0021955625032220594,-102.10438475110277
2.5,0.004,0.0020293944464563,0.55,1.0015782329117109,113992.41761582604,4.0,9.272608254161357,1.0015782329117109,113992.41761582604,0.9916617673617464,113986.2694369889,False,False,0.9975389192269201,113842.18891957647,385.4267743952723,-0.007068842590768343,169.16941614712414
3.0,0.004,0.0019934691820362,0.55,1.0019126547147048,113265.05208498184,4.0,9.003969832317667,1.0019126547147048,113265.05208498184,1.002514090740679,113531.5880372099,False,False,0.9988548095786627,113186.64791294557,383.0394109377066,0.0046392929967477015,407.838462268337
3.5,0.004,0.0019588080685053,0.55,1.002252853369954,112576.54325223496,4.0,8.741643629425974,1.002252853369954,112576.54325223496,1.0156550058254994,112873.55122905735,False,False,1.0018271463759956,112563.67163516108,380.5538977185917,0.016459160807974715,370.44009653701505
4.0,0.004,0.0019254335019504,0.55,1.0025986144529622,111925.92400474408,4.0,8.485863351144875,1.0025986144529622,111925.92400474408,0.9976765492674488,111901.82606224532,False,False,1.0015655433058164,111909.16951060812,378.3741767056744,-0.0044964925905727204,-12.040396713913651
4.5,0.004,0.0018933651418813,0.55,1.0029497202626485,111312.1926443864,4.0,8.23686309406452,1.0029497202626485,111312.1926443864,0.996744971264449,111255.40613721772,False,False,1.0012383221288033,111287.6673384307,376.3138892615213,-0.005171889022072329,-41.21243427848094
5.0,0.004,0.0018626195243956,0.55,1.003305950341916,110734.31307285171,4.0,7.994875416419758,1.003305950341916,110734.31307285171,1.008204370843768,110485.1093167468,False,False,1.002160909072994,110691.14820097662,374.1816338741305,0.006609490302777132,-226.47006857155066
5.5,0.004,0.0018332096803289,0.55,1.0036670820618612,110191.21530964324,4.0,7.760129101132981,1.0036670820618612,110191.21530964324,1.0072359521434615,110311.92225873609,False,False,1.0032103514404198,110172.90219339884,372.2993739982387,0.004713457982990388,161.0167890766752
6.0,0.004,0.0018051447682956,0.55,1.0040328912671452,109681.79638974204,4.0,7.532846605481673,1.0040328912671452,109681.79638974204,1.0050870337571245,109607.52298958978,False,False,1.0036792132930314,109660.01383283014,370.5082303770928,0.001510679973578899,-57.19458090055559
6.5,0.004,0.0017784297335897,0.55,1.0044031529782136,109204.9216868565,4.0,7.3132412030746705,1.0044031529782136,109204.9216868565,0.9950984725311316,109386.6870486012,False,False,1.0033388454726087,109196.86803949873,368.98531015082176,-0.00895122165352391,202.0747441479325
7.0,0.004,0.001753065004648,0.55,1.0047776421441057,108759.42670519132,4.0,7.101513838322192,1.0047776421441057,108759.42670519132,1.0044851239194728,109284.93274642911,False,False,1.0043946425479218,108807.03465346417,367.53849223041465,0.0007716371020414226,532.8597378358827
7.5,0.004,0.0017290462390702,0.55,1.005156134437594,108344.11937707692,4.0,6.897849731128139,1.005156134437594,108344.11937707692,1.0121091663821769,108334.40688989835,False,False,1.0054327181078362,108390.8364359374,366.0057423261778,0.007336435963712029,-54.10053872606659
8.0,0.004,0.001706364130933,0.55,1.0055384070824385,107957.7828952125,4.0,6.702414789707682,1.0055384070824385,107957.7828952125,0.9920962616095876,107508.57655296028,False,False,1.0039009938050971,107938.32708880995,364.66417472161845,-0.013718276860120726,-492.57972269141464
8.5,0.004,0.00168500429025,0.55,1.0059242397007302,107599.1790964253,4.0,6.515351911398185,1.0059242397007302,107599.1790964253,1.001348082090328,107340.92396351665,False,False,1.0037154367282526,107555.13546051344,363.3920857299489,-0.0029390540847771263,-240.41938298600144
9.0,0.004,0.0016649472038689,0.55,1.006313415166752,107267.05239866738,4.0,6.336777273750588,1.006313415166752,107267.05239866738,0.9873011877687436,106829.6081662664,False,False,1.0020460489875895,107170.59275187379,362.29458816396516,-0.016804016124799315,-396.95862066464906
9.5,0.004,0.0016461682848622,0.55,1.0067057204526084,106960.13427466172,4.0,6.166776739227004,1.0067057204526084,106960.13427466172,0.9938103430547588,106601.00136783722,False,False,1.0013060257575568,106836.92337476158,361.25575649939015,-0.008629277905534916,-270.57722291177197
10.0,0.004,0.0016286380146092,0.55,1.0071009474501735,106677.1482247124,4.0,6.00540251422292,1.0071009474501735,106677.1482247124,0.9886835970722562,107068.72944175804,False,False,1.0011597406933728,106595.01112893313,360.4553435635855,-0.013019288084550218,504.4776784260175
10.5,0.004,0.0016123221784113,0.55,1.0074988937537717,106416.81518861756,4.0,5.852670214368764,1.0074988937537717,106416.81518861756,1.005147982443025,106484.81306065511,False,False,1.0020654568049525,106358.77834076495,359.5478886063468,0.003589005627644637,142.9173882490868
11.0,0.004,0.0015971821917913,0.55,1.0078993633884732,106177.85931365054,4.0,5.708556490668407,1.0078993633884732,106177.85931365054,0.9952248985740362,105721.8069841778,False,False,1.001298584184511,106081.25264469981,358.7014401504337,-0.007242049245021365,-403.3033361216512
11.5,0.004,0.0015831755108341,0.55,1.0083021674700008,105959.0139737875,4.0,5.572997362942444,1.0083021674700008,105959.0139737875,1.0110148110582178,106155.10362359651,False,False,1.0028971545774645,105906.65772167184,357.92016313614073,0.009311909311119804,283.92927159123064
12.0,0.004,0.001570256116284,0.55,1.0087071247839534,105759.02791652868,4.0,5.44588738703253,1.0087071247839534,105759.02791652868,1.0102746356501957,106137.14037875236,False,False,1.0044738881879134,105756.23008517813,357.2237513985725,0.006971544400325103,425.51546402371605
12.5,0.004,0.0015583750578834,0.55,1.0091140622743062,105576.67139955616,4.0,5.327079750274407,1.0091140622743062,105576.67139955616,1.0072447528280066,105468.7090323254,False,False,1.0049489398286624,105568.2591586824,356.53227219936355,0.0023635417054626018,-105.6843354418088
13.0,0.004,0.0015474810428702,0.55,1.0095228154338278,105410.742171656,4.0,5.216387347308433,1.0095228154338278,105410.742171656,0.9843552183256228,105207.94491991492,False,False,1.0032704848147476,105362.09010843858,356.03539798408485,-0.021002914285756624,-195.39460810218588
13.5,0.004,0.0015375210508448,0.55,1.0099332285920204,105260.07115192807,4.0,5.113584838310434,1.0099332285920204,105260.07115192807,1.004546299633554,105158.8578381826,False,False,1.0036810915815382,105212.57776128282,355.48145765002494,0.0008643667902457075,-57.4243560971081
14.0,0.004,0.0015284409564997,0.55,1.0103451550992704,105123.5276688172,4.0,5.018411638391142,1.0103451550992704,105123.5276688172,1.0098601456452596,105208.90962189346,False,False,1.0047621414817056,105098.14723616326,354.9667159255691,0.005766098522100638,128.06495987204835
14.5,0.004,0.0015201861420244,0.55,1.010758457408933,105000.02413569232,4.0,4.930575735188548,1.010758457408933,105000.02413569232,1.011891547268966,105192.01518076925,False,False,1.006039769850352,105002.6766020264,354.49299127119764,0.006715356849499532,214.6756130308786
15.0,0.004,0.0015127020822998,0.55,1.011173007061883,104888.52006159672,4.0,4.849758186593519,1.011173007061883,104888.52006159672,0.995871649406829,105243.1851130088,False,False,1.0060111976533963,104906.63372625492,354.172126836079,-0.010583052567917028,352.0822474835004
15.5,0.004,0.0015059348881482,0.55,1.0115886845805249,104788.02532276724,4.0,4.775618116455607,1.0115886845805249,104788.02532276724,1.0068111518201857,105151.7687845412,False,False,1.0069209497467313,104832.53081771718,353.8144076732839,0.00038401571295887393,347.240402435782
16.0,0.004,0.0014998317957077,0.55,1.0120053792812402,104697.60265049648,4.0,4.707798006043846,1.0120053792812402,104697.60265049648,1.0022201885006738,105053.22380496455,False,False,1.0073178092212636,104756.50700750297,353.5109448928863,-0.005117397300013371,315.43842893150577
16.5,0.004,0.001494341593197,0.55,1.0124229890157077,104616.36932161964,4.0,4.64592907427324,1.0124229890157077,104616.36932161964,1.0043346166214515,105024.94575115365,False,False,1.0079162835643296,104693.15196417173,353.2264950847103,-0.0034005934858045705,355.53007745021023
17.0,0.004,0.0014894149796767,0.55,1.012841419852428,104543.49806715878,4.0,4.589636549702559,1.012841419852428,104543.49806715878,1.0234504060862888,104741.91440409888,False,False,1.0097987716592147,104640.63804686598,352.8271940650959,0.015116106038473909,129.4166249076079
17.5,0.004,0.0014850048536528,0.55,1.0132605857101529,104478.21724057544,4.0,4.53854465989002,1.0132605857101529,104478.21724057544,1.0051852389568336,104018.94525927585,False,False,1.0090613554364662,104517.07046484986,352.49745730457215,-0.005031938293707849,-546.3831135822111
18.0,0.004,0.0014810665322965,0.55,1.01368040795477,104419.81030829836,4.0,4.492281195526702,1.01368040795477,104419.81030829836,1.013355190905315,104380.52103944428,False,False,1.009713626736437,104453.5912700112,352.20653860937466,0.0038740540479114127,-74.13743040179543
18.5,0.004,0.0014775579045302,0.55,1.0141008149706816,104367.61474089976,4.0,4.450481543957865,1.0141008149706816,104367.61474089976,1.0229447136445131,104461.79089468675,False,False,1.011311694769904,104418.01714394473,351.89842437465046,0.012810687398342457,63.91391226442647
19.0,0.004,0.0014744395231591,0.55,1.0145217417168215,104321.02039326908,4.0,4.412792125373503,1.0145217417168215,104321.02039326908,1.0086857373893887,104206.08251376676,False,False,1.011260804199407,104350.29448655205,351.6761808680682,-0.0030465942347199793,-159.9795557414909
19.5,0.004,0.001471674642587,0.55,1.0149431292763906,104279.4674666512,4.0,4.378873201740615,1.0149431292763906,104279.4674666512,1.013826109780549,104552.8457231218,False,False,1.0121915281012654,104326.82881154123,351.48760708908003,0.002143940317885784,247.22209021459275
20.0,0.004,0.0014692292094649,0.55,1.0153649244081464,104242.44414512649,4.0,4.348401060915124,1.0153649244081464,104242.44414512649,1.0164695658406413,104134.37995347082,False,False,1.0127433711411227,104277.96997322404,351.2581079877998,0.0038565043035705404,-150.30452793411678
20.5,0.004,0.0014670718139395,0.55,1.0157870791058232,104209.4839949047,4.0,4.321069604717033,1.0157870791058232,104209.4839949047,1.0164248968483738,103931.75988591558,False,False,1.0130352213658163,104221.86070789184,351.0348062359321,0.0032595177278151866,-309.3848704142292
21.0,0.004,0.0014651736090805,0.55,1.0162095501709765,104180.16320767904,4.0,4.29659138939114,1.0162095501709765,104180.16320767904,1.0039589919067995,104613.45290751074,False,False,1.0132040249338603,104211.3996267084,350.97973556771143,-0.009498814207526074,422.2473718898109
21.5,0.004,0.0014635082056672,0.55,1.0166322988033654,104154.09776021312,4.0,4.274698179888935,1.0166322988033654,104154.09776021312,1.0173937011071357,104353.89905315502,False,False,1.0141741350766027,104199.13421676953,350.82444150723376,0.0037669940063460583,171.9990195253049
22.0,0.004,0.0014620515488934,0.55,1.017055290211883,104130.94055221662,4.0,4.255141086422864,1.017055290211883,104130.94055221662,1.0306435244292984,104196.71668747671,False,False,1.0159985695629736,104191.8989454675,350.58573132655584,0.016046662236107956,25.734030688676285
22.5,0.004,0.0014607817827961,0.55,1.0174784932480836,104110.3785741352,4.0,4.237690353740628,1.0174784932480836,104110.3785741352,1.0020070464667987,104388.39130157317,False,False,1.0154870725695695,104164.02783581369,350.5520293133673,-0.014414164351736147,223.8623556032253
23.0,0.004,0.001459679107394,0.55,1.017901880063518,104092.13014632888,4.0,4.222134871657383,1.017901880063518,104092.13014632888,1.026495706943734,104410.8904181295,False,False,1.0171688226623554,104172.31865745955,350.3823820216905,0.010585647067065995,271.11831509447074
23.5,0.004,0.0014587256327023,0.55,1.018325425791401,104075.94226164976,4.0,4.208281470684305,1.018325425791401,104075.94226164976,1.0195189660483668,104178.25300494157,False,False,1.0177968280281564,104151.69657473372,350.23926497258384,0.0019273964151813594,31.135667855429347
24.0,0.004,0.001457905232998,0.55,1.018749108252568,104061.58805492178,4.0,4.195954060110581,1.018749108252568,104061.58805492178,1.0123344043114957,103324.2896292535,False,False,1.016660529972386,104062.58294534596,350.072931637005,-0.005885336372814187,-804.5061909417855
24.5,0.004,0.0014572034039901,0.55,1.0191729076852365,104048.86441541424,4.0,4.184992658476167,1.0191729076852365,104048.86441541424,1.0391770731486605,103846.18758021393,False,False,1.018701608308743,104060.89221752239,349.8277422939357,0.02209256613868993,-203.573898031289
25.0,0.004,0.0014566071249031,0.55,1.0195968064977523,104037.58975212704,4.0,4.1752523586785895,1.0195968064977523,104037.58975212704,1.0272194036185995,103900.61601325356,False,False,1.0196222982923986,104046.9806262103,349.6729548671969,0.008093984071165128,-147.63223154543084
25.5,0.004,0.0014561047269256,0.55,1.0200207890432649,104027.60191654056,4.0,4.166602262469162,1.0200207890432649,104027.60191654056,1.0080279000222123,103732.3416480066,False,False,1.0186236809941285,103999.58698492998,349.6307874781184,-0.012018276927718397,-303.5765120835713
26.0,0.004,0.0014556857690102,0.55,1.0204448414150964,104018.75628334976,4.0,4.158924412135845,1.0204448414150964,104018.75628334976,1.021190003702811,104078.35951352584,False,False,1.0193411164168298,104002.63367477163,349.55689271720235,0.0021418406563729064,84.3882990868733
26.5,0.004,0.0014553409216208,0.55,1.020868951261493,104010.92398649231,4.0,4.152112740935439,1.020868951261493,104010.92398649231,1.0266358470981949,104368.58462634771,False,False,1.0208374300226521,104031.79182584141,349.47936495882936,0.006870346505787994,371.92156074990635
27.0,0.004,0.0014550618587188,0.55,1.021293107618373,104003.99030537494,4.0,4.146072058412735,1.021293107618373,104003.99030537494,1.0194052863648655,103858.51862981282,False,False,1.020888657915966,104008.34908386575,349.3946044629315,-0.0018560770091200496,-163.9418645817641
27.5,0.004,0.0014548411580356,0.55,1.0217173007587006,103997.85319448115,4.0,4.140717082148893,1.0217173007587006,103997.85319448115,1.0285464034306526,103657.40339357992,False,False,1.0214805255753565,103985.19135484015,349.2474111838816,0.007233563054989345,-344.3084195748088
28.0,0.004,0.0014546722094952,0.55,1.0221415220571182,103992.42194838345,4.0,4.135971523678504,1.0221415220571182,103992.42194838345,1.021476348855624,104600.8323916566,False,False,1.0226769564861011,104025.70442193629,349.2431368322971,-0.0004285565910913114,619.6077758242172
28.5,0.004,0.0014545491315163,0.55,1.0225657638685322,103987.6159934846,4.0,4.131767233237378,1.0225657638685322,103987.6159934846,1.0292382394768755,103852.18471165534,False,False,1.023409286866571,104012.29516939903,349.11222619932437,0.0061374497006103645,-164.875764748067
29.0,0.004,0.0014544666948295,0.55,1.022990019419394,103983.36379747132,4.0,4.1280434055738064,1.022990019419394,103983.36379747132,1.0373752453359557,103613.47432005736,False,False,1.0244775885648398,103992.64158535979,348.920986808676,0.013542046198781632,-391.7152616219246
29.5,0.004,0.0014544202533797,0.55,1.0234142827104973,103979.60188740534,4.0,4.124745847178532,1.0234142827104973,103979.60188740534,1.016657660200441,104050.90506229088,False,False,1.0242801337606986,103982.69550966706,348.9107673501343,-0.008243956897184157,63.105981190063176
30.0,0.004,0.001454405681852,0.55,1.0238385484301886,103976.27396752386,4.0,4.121826303884503,1.0238385484301886,103976.27396752386,1.0258699345340847,104103.97874200072,False,False,1.024966913366543,103989.44342749416,348.8528778912751,0.0011656467517227043,124.97341556409083
30.5,0.004,0.0014544193193379,0.55,1.0242628118769657,103973.33012812634,4.0,4.119241846766547,1.0242628118769657,103973.33012812634,1.0196297361115816,103761.81510122214,False,False,1.0246076856533213,103962.01393363005,348.8029722931109,-0.005761196241958588,-223.15355786588043
31.0,0.004,0.0014544579186614,0.55,1.024687068890522,103970.72613732716,4.0,4.116954313568295,1.024687068890522,103970.72613732716,1.0259597530027804,104207.86220970364,False,False,1.025433462880686,103979.71885324387,348.7655523513804,0.0009277188885234988,247.1385892192484
31.5,0.004,0.0014545186008896,0.55,1.0251113157903735,103968.42280793189,4.0,4.114929802426018,1.0251113157903735,103968.42280793189,1.0132393705118723,103822.22697644588,False,False,1.0245787555157564,103950.39456672846,348.767379231977,-0.012618174500726553,-154.1417577676766
