t_s,qin_m3s,qout_m3s,u,L_m,Vg_m3,n_mol,P_Pa,n_in_mols,n_out_mols,dP_liq_Pa,L_true_m,P_true_Pa,L_meas_m,P_meas_Pa,L_missing,P_missing
0.0,0.0,0.0,0.0,1.0,9.0,400.0,118243.55555555556,0.0,0.0,0.0,1.0,118243.55555555556,1.0030471707975444,118097.69731634585,False,False
0.5,0.004,0.002185214421051679,0.55,1.0003024642631582,8.999092607210525,396.7971460823036,117308.59068648661,4.0,10.405707835392823,25257.055555555562,1.0003024642631582,117308.59068648661,0.9899026232007532,117434.65869932898,False,False
1.0,0.004,0.002144498100865525,0.55,1.0006117145796807,8.998164856260958,393.74009703188113,116416.81054804173,4.0,10.114098100844895,24324.612784744957,1.0006117145796807,116416.81054804173,1.0081162265377452,116386.0915360584,False,False
1.5,0.004,0.002104936449062133,0.55,1.000927558504837,8.99721732448549,390.82614781797315,115567.41515146426,4.0,9.827898427815942,23435.411330064395,1.000927558504837,115567.41515146426,1.010333205668749,115372.24606534258,False,False
2.0,0.004,0.0020665591123005954,0.55,1.0012497986527868,8.99625060404164,388.0524842099732,114759.57247424083,4.0,9.54732721599984,22588.649598056843,1.0012497986527868,114759.57247424083,0.9817394467662485,114557.30873572348,False,False
2.5,0.004,0.002029394446456396,0.55,1.0015782329117109,8.995265301264867,385.41618008289254,113992.41761582604,4.0,9.272608254161357,21783.493920307097,1.0015782329117109,113992.41761582604,0.9885564378430877,113778.71649650222,False,False
3.0,0.004,0.0019934691820362913,0.55,1.0019126547147048,8.994262035855886,382.9141951667337,113265.05208498183,4.0,9.003969832317667,21019.077710960337,1.0019126547147048,113265.05208498183,1.0031910587463777,113001.19919638414,False,False
3.5,0.004,0.0019588080685053926,0.55,1.002252853369954,8.993241439890138,380.5433733520207,112576.54325223496,4.0,8.741643629425974,20294.500756320394,1.002252853369954,112576.54325223496,0.9990904274465181,113261.03311541778,False,False
4.0,0.004,0.0019254335019504778,0.55,1.0025986144529622,8.992204156641113,378.30044167644826,111925.92400474408,4.0,8.485863351144875,19608.82867006032,1.0025986144529622,111925.92400474408,1.0024306028779193,112015.17732609974,False,False
4.5,0.004,0.0018933651418813861,0.55,1.0029497202626485,8.991150839212054,376.18201012941597,111312.1926443864,4.0,8.23686309406452,18961.09255136011,1.0029497202626485,111312.1926443864,0.9944192809869127,111578.22036070783,False,False
5.0,0.004,0.0018626195243956734,0.55,1.003305950341916,8.990082148974253,374.1845724212061,110734.31307285171,4.0,7.994875416419758,18350.2888867965,1.003305950341916,110734.31307285171,1.0120999300905442,110587.58983241604,False,False
5.5,0.004,0.001833209680328941,0.55,1.0036670820618612,8.988998753814418,372.3045078706396,110191.21530964324,4.0,7.760129101132981,17775.37973977778,1.0036670820618612,110191.21530964324,1.0114450014161507,110135.42830648743,False,False
6.0,0.004,0.0018051447682956698,0.55,1.0040328912671452,8.987901326198564,370.53808456789875,109681.79638974204,4.0,7.532846605481673,17235.293273416075,1.0040328912671452,109681.79638974204,1.0046931982427574,109467.73019533094,False,False
6.5,0.004,0.0017784297335897673,0.55,1.0044031529782136,8.986790541065359,368.8814639663614,109204.9216868565,4.0,7.3132412030746705,16728.924653573133,1.0044031529782136,109204.9216868565,1.015675565047894,108409.40918638074,False,False
7.0,0.004,0.0017530650046480225,0.55,1.0047776421441055,8.985667073567683,367.33070704720035,108759.42670519133,4.0,7.101513838322192,16255.137377965331,1.0047776421441055,108759.42670519133,1.0094527355666258,108346.02392213697,False,False
7.5,0.004,0.0017290462390702052,0.55,1.0051561344375939,8.98453159668722,365.88178218163625,108344.11937707692,4.0,6.897849731128139,15812.765074209958,1.0051561344375939,108344.11937707692,0.9965632098087615,107800.9337730828,False,False
8.0,0.004,0.0017063641309330146,0.55,1.0055384070824385,8.983384778752685,364.53057478678244,107957.7828952125,4.0,6.702414789707682,15400.613804084793,1.0055384070824385,107957.7828952125,1.0092259149232634,107282.84776182701,False,False
8.5,0.004,0.001685004290250009,0.55,1.0059242397007302,8.98222728089781,363.27289883108335,107599.1790964253,4.0,6.515351911398185,15017.464902669411,1.0059242397007302,107599.1790964253,0.9963354136924402,107240.57140413587,False,False
9.0,0.004,0.0016649472038689917,0.55,1.006313415166752,8.981059754499743,362.10451019420805,107267.05239866738,4.0,6.336777273750588,14662.07836916984,1.006313415166752,107267.05239866738,1.0150979181798248,107664.53910248187,False,False
9.5,0.004,0.0016461682848622646,0.55,1.0067057204526084,8.979882838642174,361.02112182459456,106960.13427466172,4.0,6.166776739227004,14333.196811035343,1.0067057204526084,106960.13427466172,1.006206461342746,106946.80342435041,False,False
10.0,0.004,0.001628638014609212,0.55,1.0071009474501735,8.97869715764948,360.0184205674831,106677.1482247124,4.0,6.00540251422292,14029.54992465579,1.0071009474501735,106677.1482247124,1.0052523238147208,107064.31735340874,False,False
10.5,0.004,0.001612322178411325,0.55,1.0074988937537717,8.977503318738684,359.0920854602987,106416.81518861756,4.0,5.852670214368764,13749.859475025665,1.0074988937537717,106416.81518861756,1.0006895983097321,106540.10996168782,False,False
11.0,0.004,0.0015971821917913115,0.55,1.0078993633884732,8.97630190983458,358.23780721496445,106177.85931365054,4.0,5.708556490668407,13492.844714183388,1.0078993633884732,106177.85931365054,1.0201247767752135,106412.62696136508,False,False
11.5,0.004,0.0015831755108341116,0.55,1.0083021674700008,8.975093497589999,357.4513085334932,105959.0139737875,4.0,5.572997362942444,13257.22815526532,1.0083021674700008,105959.0139737875,1.0067568726493128,105688.74487519612,False,False
12.0,0.004,0.0015702561162840448,0.55,1.0087071247839534,8.97387862564814,356.72836483997696,105759.02791652869,4.0,5.44588738703253,13041.741597236101,1.0087071247839534,105759.02791652869,1.0044238465623223,105916.21320278649,False,False
12.5,0.004,0.0015583750578834626,0.55,1.0091140622743062,8.972657813177081,356.0648249648398,105576.67139955617,4.0,5.3270797502744065,12845.132276539687,1.0091140622743062,105576.67139955617,1.005592726769424,105795.28566977847,False,False
